iter	Passed	Remaining
0	9327	1856080
1	18757	1857003
2	27598	1812299
3	36390	1783122
4	45655	1780569
5	56222	1817869
6	66504	1833632
7	76967	1847225
8	87615	1859396
9	98581	1873044
10	110473	1898134
11	123144	1929269
12	136067	1957282
13	148532	1973358
14	160677	1981688
15	172804	1987254
16	185140	1992984
17	197534	1997297
18	209855	1999150
19	222087	1998788
20	234297	1997109
21	246740	1996356
22	259178	1994550
23	271834	1993452
24	284676	1992736
25	297374	1990121
26	309936	1985888
27	322985	1984051
28	336121	1981958
29	349530	1980675
30	362198	1974568
31	375295	1970302
32	388205	1964555
33	401607	1960789
34	414751	1955258
35	427922	1949426
36	441372	1944424
37	454854	1939117
38	468071	1932294
39	482104	1928418
40	496729	1926341
41	511143	1922873
42	524441	1914821
43	538003	1907465
44	551684	1900246
45	565040	1891657
46	578145	1882048
47	592147	1875135
48	606024	1867544
49	620134	1860402
50	658393	1923541
51	696965	1983671
52	736349	2042327
53	776525	2099494
54	816172	2151726
55	856343	2202026
56	895261	2246006
57	934306	2287439
58	973483	2326460
59	1012395	2362256
60	1050620	2394035
61	1089466	2424940
62	1127548	2451971
63	1171684	2489829
64	1212506	2518282
65	1252402	2542755
66	1291105	2562940
67	1332093	2585827
68	1370121	2601245
69	1413274	2624651
70	1457017	2647256
71	1499954	2666586
72	1540847	2680651
73	1580591	2691277
74	1618589	2697649
75	1656666	2702981
76	1694499	2706797
77	1733743	2711752
78	1771859	2713861
79	1811528	2717293
80	1849344	2716937
81	1888035	2716928
82	1926191	2715234
83	1965689	2714523
84	2003786	2711005
85	2041987	2706820
86	2081061	2702988
87	2120100	2698310
88	2158217	2691709
89	2199251	2687974
90	2241726	2685145
91	2281658	2678469
92	2323267	2673006
93	2365678	2667680
94	2406269	2659561
95	2451573	2655870
96	2496430	2650848
97	2537453	2641023
98	2577494	2629564
99	2617804	2617804
100	2726505	2672515
101	2837096	2725838
102	2945977	2774367
103	3057320	2822142
104	3171112	2869102
105	3285474	2913533
106	3395404	2951146
107	3504041	2984924
108	3618243	3020735
109	3727742	3049971
110	3837036	3076542
111	3953804	3106560
112	4078721	3140254
113	4196798	3166006
114	4307587	3183868
115	4418535	3199629
116	4537338	3218795
117	4647461	3229591
118	4759359	3239564
119	4871087	3247391
120	4986818	3255856
121	5104900	3263789
122	5215733	3265133
123	5327683	3265354
124	5439140	3263484
125	5551254	3260260
126	5670496	3259419
127	5794570	3259446
128	5918156	3257279
129	6037956	3251207
130	6149035	3238804
131	6263534	3226669
132	6378972	3213467
133	6492141	3197621
134	6614106	3184569
135	6730279	3167190
136	6843486	3147004
137	6956485	3125377
138	7069461	3102425
139	7182169	3078072
140	7297630	3053618
141	7411396	3027189
142	7532566	3002491
143	7648948	2974591
144	7763115	2944630
145	7877857	2913728
146	7995547	2882748
147	8108096	2848790
148	8225250	2815354
149	8338469	2779489
150	10052734	3262145
151	11769623	3716723
152	13509663	4150027
153	15290579	4567315
154	17034085	4945379
155	18777823	5296309
156	20511830	5617889
157	22252139	5915125
158	23997363	6187999
159	25738269	6434567
